route_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,day_type,peak_ind,average_sec,std_sec,p05_sec,p50_sec,p95_sec,ObjectId
Orange,70001,Forest Hills,70003,Green Street,saturday,offpeak,84.25,16.94,62,87,100,1
Orange,70001,Forest Hills,70003,Green Street,sunday,offpeak,92.39,24.21,62,89,141,2
Orange,70001,Forest Hills,70003,Green Street,weekday,peak,90.83,20.21,64,88,136,3
Orange,70001,Forest Hills,70003,Green Street,weekday,offpeak,90.48,21.16,64,88,135,4
Orange,70002,Green Street,70001,Forest Hills,saturday,offpeak,103.51,27.46,78,100,143.8,5
Orange,70002,Green Street,70001,Forest Hills,weekday,peak,123.09,58.93,82,106,221.3,6
Orange,70002,Green Street,70001,Forest Hills,sunday,offpeak,105.33,30.5,81,104,136.8,7
Orange,70002,Green Street,70001,Forest Hills,weekday,offpeak,120.19,65.49,81,104,225,8
Orange,70003,Green Street,70005,Stony Brook,weekday,peak,87.66,27.03,48,91,114,9
Orange,70003,Green Street,70005,Stony Brook,weekday,offpeak,83.51,24.06,48,87,105,10
Orange,70003,Green Street,70005,Stony Brook,saturday,offpeak,77.55,25.63,47,84,100,11
Orange,70003,Green Street,70005,Stony Brook,sunday,offpeak,82.11,24.86,48,86,101,12
Orange,70004,Stony Brook,70002,Green Street,sunday,offpeak,49.64,4.15,46,49,55,13
Orange,70004,Stony Brook,70002,Green Street,weekday,peak,51.81,13.15,46,49,64,14
Orange,70004,Stony Brook,70002,Green Street,weekday,offpeak,51.95,56.33,46,49,62,15
Orange,70004,Stony Brook,70002,Green Street,saturday,offpeak,49.34,5.61,46,48,56,16
Orange,70005,Stony Brook,70007,Jackson Square,sunday,offpeak,77.96,27.73,46.55,71,115,17
Orange,70005,Stony Brook,70007,Jackson Square,saturday,offpeak,71.6,27.42,46,69,103,18
Orange,70005,Stony Brook,70007,Jackson Square,weekday,peak,78.02,28.65,46,71,113,19
Orange,70005,Stony Brook,70007,Jackson Square,weekday,offpeak,77.23,29.68,44,71,106,20
Orange,70006,Jackson Square,70004,Stony Brook,sunday,offpeak,69.63,19.47,52,62,100.55,21
