reporting_fiscal_year,reporting_as_of_date,category,subcategory,month_to_date_actual_amount,month_to_date_budgeted_amount,year_to_date_actual_amount,year_to_date_budgeted_amount,ObjectId
2021,2020/10/31 04:00:00+00,Expenses,Debt Service,42604528.91,43620927.71,128405819.55,130862788.13,1
2021,2020/11/30 05:00:00+00,Expenses,Debt Service,42604528.91,43620927.71,128405819.55,130862788.13,2
2021,2020/12/30 05:00:00+00,Expenses,Debt Service,42604528.91,43620927.71,128405819.55,130862788.13,3
2021,2020/10/31 04:00:00+00,Revenue,Non-Operating Revenues,165100020.01,160608918.267,489604292.71,474924829.164,4
2021,2020/11/30 05:00:00+00,Revenue,Non-Operating Revenues,165100020.01,160608918.267,489604292.71,474924829.164,5
2021,2020/12/30 05:00:00+00,Revenue,Non-Operating Revenues,165100020.01,160608918.267,489604292.71,474924829.164,6
2021,2020/10/31 04:00:00+00,Expenses,Operating Expenses,134625162.36,147194996.926,408719550.85,442524176.722,7
2021,2020/11/30 05:00:00+00,Expenses,Operating Expenses,134625162.36,147194996.926,408719550.85,442524176.722,8
2021,2020/12/30 05:00:00+00,Expenses,Operating Expenses,134625162.36,147194996.926,408719550.85,442524176.722,9
2021,2020/10/31 04:00:00+00,Revenue,Operating Revenues,17625691.34,16473948.237,45296005.83,32921690.828,10
2021,2020/11/30 05:00:00+00,Revenue,Operating Revenues,17625691.34,16473948.237,45296005.83,32921690.828,11
2021,2020/12/30 05:00:00+00,Revenue,Operating Revenues,17625691.34,16473948.237,45296005.83,32921690.828,12
2021,2020/09/30 04:00:00+00,Expenses,Debt Service,42604528.91,43620927.71,128405819.55,130862788.13,13
2021,2020/09/30 04:00:00+00,Revenue,Non-Operating Revenues,165100020.01,160608918.267,489604292.71,474924829.164,14
2021,2020/09/30 04:00:00+00,Expenses,Operating Expenses,134625162.36,147194996.926,408719550.85,442524176.722,15
2021,2020/09/30 04:00:00+00,Revenue,Operating Revenues,17625691.34,16473948.237,45296005.83,32921690.828,16
2021,2020/08/31 04:00:00+00,Expenses,Debt Service,42435178.13,43620928.71,85801290.64,87241860.42,17
2021,2020/08/31 04:00:00+00,Revenue,Non-Operating Revenues,168005951.66,156897937.016,324504272.7,314315910.897,18
2021,2020/08/31 04:00:00+00,Expenses,Operating Expenses,136795925.68,143461231.71,274094388.49,295329179.796,19
2021,2020/08/31 04:00:00+00,Revenue,Operating Revenues,15148676.18,9923508.614,27670314.49,16447742.591,20
2021,2020/07/31 04:00:00+00,Expenses,Debt Service,43366112.51,43620931.71,43366112.51,43620931.71,21
2021,2020/07/31 04:00:00+00,Revenue,Non-Operating Revenues,156498321.04,157417973.881,156498321.04,157417973.881,22
2021,2020/07/31 04:00:00+00,Expenses,Operating Expenses,137298462.81,151867948.086,137298462.81,151867948.086,23
2021,2020/07/31 04:00:00+00,Revenue,Operating Revenues,12521638.31,6524233.977,12521638.31,6524233.977,24
2020,2020/06/30 04:00:00+00,Expenses,Debt Service,39586239.46,40910140.814,486410448.85,490921689.768,25
2020,2020/06/30 04:00:00+00,Revenue,Non-Operating Revenues,171607908.79,110041221.617,1525692786.03,1274765314.824,26
2020,2020/06/30 04:00:00+00,Expenses,Operating Expenses,141342280.65,134273737.796,1630305340.311,1628503685.455,27
2020,2020/06/30 04:00:00+00,Revenue,Operating Revenues,11871293.28,75199167.988,619449833.114,808120492.691,28
2020,2020/05/31 04:00:00+00,Expenses,Debt Service,39139820.46,40910140.814,446824209.39,450011548.954,29
2020,2020/05/31 04:00:00+00,Revenue,Non-Operating Revenues,260462380.05,106285274.297,1354084877.24,1164724093.207,30
2020,2020/05/31 04:00:00+00,Expenses,Operating Expenses,122515191.17,130470762.066,1488963059.661,1494229947.659,31
2020,2020/05/31 04:00:00+00,Revenue,Operating Revenues,8178195.64,67482579.911,607578539.834,732921324.703,32
2020,2020/04/30 04:00:00+00,Expenses,Debt Service,41311580.88,40910140.81,407684388.9,409101408.1,33
2020,2020/04/30 04:00:00+00,Revenue,Non-Operating Revenues,107707087.3,106272667.9,1093622497,1058438819,34
